scenario,market,hour,value_togo
freightbidbench_scarce_capacity,04,0,8647.58
freightbidbench_scarce_capacity,04,1,8647.58
freightbidbench_scarce_capacity,04,2,8647.58
freightbidbench_scarce_capacity,04,3,8647.58
freightbidbench_scarce_capacity,04,4,8647.58
freightbidbench_scarce_capacity,04,5,8647.58
freightbidbench_scarce_capacity,04,6,8647.58
freightbidbench_scarce_capacity,04,7,8647.58
freightbidbench_scarce_capacity,04,8,8647.58
freightbidbench_scarce_capacity,04,9,8647.58
freightbidbench_scarce_capacity,04,10,8647.58
freightbidbench_scarce_capacity,04,11,8647.58
freightbidbench_scarce_capacity,04,12,8647.58
freightbidbench_scarce_capacity,04,13,8647.58
freightbidbench_scarce_capacity,04,14,8647.58
freightbidbench_scarce_capacity,04,15,8647.58
freightbidbench_scarce_capacity,04,16,8647.58
freightbidbench_scarce_capacity,04,17,8647.58
freightbidbench_scarce_capacity,04,18,8647.58
freightbidbench_scarce_capacity,04,19,8647.58
freightbidbench_scarce_capacity,04,20,8647.58
freightbidbench_scarce_capacity,04,21,8647.58
freightbidbench_scarce_capacity,04,22,8647.58
freightbidbench_scarce_capacity,04,23,8647.58
freightbidbench_scarce_capacity,04,24,8647.58
freightbidbench_scarce_capacity,04,25,8647.58
freightbidbench_scarce_capacity,04,26,1599.08
freightbidbench_scarce_capacity,04,27,1599.08
freightbidbench_scarce_capacity,04,28,1599.08
freightbidbench_scarce_capacity,04,29,1599.08
freightbidbench_scarce_capacity,04,30,1599.08
freightbidbench_scarce_capacity,04,31,1599.08
freightbidbench_scarce_capacity,04,32,1599.08
freightbidbench_scarce_capacity,04,33,1599.08
freightbidbench_scarce_capacity,04,34,1599.08
freightbidbench_scarce_capacity,04,35,1599.08
freightbidbench_scarce_capacity,04,36,1599.08
freightbidbench_scarce_capacity,04,37,1599.08
freightbidbench_scarce_capacity,04,38,1599.08
freightbidbench_scarce_capacity,04,39,1599.08
freightbidbench_scarce_capacity,04,40,1599.08
freightbidbench_scarce_capacity,04,41,1599.08
freightbidbench_scarce_capacity,04,42,-385.12
freightbidbench_scarce_capacity,04,43,-385.12
freightbidbench_scarce_capacity,04,44,-385.12
freightbidbench_scarce_capacity,04,45,-385.12
freightbidbench_scarce_capacity,04,46,-385.12
freightbidbench_scarce_capacity,04,47,-385.12
freightbidbench_scarce_capacity,04,48,-385.12
freightbidbench_scarce_capacity,04,49,-385.12
freightbidbench_scarce_capacity,04,50,-385.12
freightbidbench_scarce_capacity,04,51,-385.12
freightbidbench_scarce_capacity,04,52,-385.12
freightbidbench_scarce_capacity,04,53,-385.12
freightbidbench_scarce_capacity,04,54,-385.12
freightbidbench_scarce_capacity,04,55,-385.12
freightbidbench_scarce_capacity,04,56,-385.12
freightbidbench_scarce_capacity,04,57,-385.12
freightbidbench_scarce_capacity,04,58,-385.12
freightbidbench_scarce_capacity,04,59,-385.12
freightbidbench_scarce_capacity,04,60,-385.12
freightbidbench_scarce_capacity,04,61,-385.12
freightbidbench_scarce_capacity,04,62,-385.12
freightbidbench_scarce_capacity,04,63,-385.12
freightbidbench_scarce_capacity,04,64,-385.12
freightbidbench_scarce_capacity,04,65,-385.12
freightbidbench_scarce_capacity,04,66,-619.04
freightbidbench_scarce_capacity,04,67,-619.04
freightbidbench_scarce_capacity,04,68,-619.04
freightbidbench_scarce_capacity,04,69,-619.04
freightbidbench_scarce_capacity,04,70,-619.04
freightbidbench_scarce_capacity,04,71,-619.04
freightbidbench_scarce_capacity,04,72,-619.04
freightbidbench_scarce_capacity,06,0,440.72
freightbidbench_scarce_capacity,06,1,440.72
freightbidbench_scarce_capacity,06,2,440.72
freightbidbench_scarce_capacity,06,3,440.72
freightbidbench_scarce_capacity,06,4,440.72
freightbidbench_scarce_capacity,06,5,440.72
freightbidbench_scarce_capacity,06,6,440.72
freightbidbench_scarce_capacity,06,7,440.72
freightbidbench_scarce_capacity,06,8,440.72
freightbidbench_scarce_capacity,06,9,440.72
freightbidbench_scarce_capacity,06,10,440.72
freightbidbench_scarce_capacity,06,11,440.72
freightbidbench_scarce_capacity,06,12,440.72
freightbidbench_scarce_capacity,06,13,440.72
freightbidbench_scarce_capacity,06,14,440.72
freightbidbench_scarce_capacity,06,15,440.72
freightbidbench_scarce_capacity,06,16,440.72
freightbidbench_scarce_capacity,06,17,440.72
freightbidbench_scarce_capacity,06,18,440.72
freightbidbench_scarce_capacity,06,19,440.72
freightbidbench_scarce_capacity,06,20,440.72
freightbidbench_scarce_capacity,06,21,440.72
freightbidbench_scarce_capacity,06,22,440.72
freightbidbench_scarce_capacity,06,23,440.72
freightbidbench_scarce_capacity,06,24,430.96
freightbidbench_scarce_capacity,06,25,430.96
freightbidbench_scarce_capacity,06,26,430.96
freightbidbench_scarce_capacity,06,27,430.96
freightbidbench_scarce_capacity,06,28,430.96
freightbidbench_scarce_capacity,06,29,430.96
freightbidbench_scarce_capacity,06,30,430.96
freightbidbench_scarce_capacity,06,31,430.96
freightbidbench_scarce_capacity,06,32,430.96
freightbidbench_scarce_capacity,06,33,430.96
freightbidbench_scarce_capacity,06,34,430.96
freightbidbench_scarce_capacity,06,35,430.96
freightbidbench_scarce_capacity,06,36,430.96
freightbidbench_scarce_capacity,06,37,430.96
freightbidbench_scarce_capacity,06,38,430.96
freightbidbench_scarce_capacity,06,39,430.96
freightbidbench_scarce_capacity,06,40,430.96
freightbidbench_scarce_capacity,06,41,430.96
freightbidbench_scarce_capacity,06,42,430.96
freightbidbench_scarce_capacity,06,43,430.96
freightbidbench_scarce_capacity,06,44,430.96
freightbidbench_scarce_capacity,06,45,430.96
freightbidbench_scarce_capacity,06,46,430.96
freightbidbench_scarce_capacity,06,47,430.96
freightbidbench_scarce_capacity,06,48,430.96
freightbidbench_scarce_capacity,06,49,430.96
freightbidbench_scarce_capacity,06,50,430.96
freightbidbench_scarce_capacity,06,51,430.96
freightbidbench_scarce_capacity,06,52,430.96
freightbidbench_scarce_capacity,06,53,430.96
freightbidbench_scarce_capacity,06,54,430.96
freightbidbench_scarce_capacity,06,55,430.96
freightbidbench_scarce_capacity,06,56,430.96
freightbidbench_scarce_capacity,06,57,430.96
freightbidbench_scarce_capacity,06,58,430.96
freightbidbench_scarce_capacity,06,59,430.96
freightbidbench_scarce_capacity,06,60,430.96
freightbidbench_scarce_capacity,06,61,430.96
freightbidbench_scarce_capacity,06,62,430.96
freightbidbench_scarce_capacity,06,63,430.96
freightbidbench_scarce_capacity,06,64,430.96
freightbidbench_scarce_capacity,06,65,430.96
freightbidbench_scarce_capacity,06,66,430.96
freightbidbench_scarce_capacity,06,67,430.96
freightbidbench_scarce_capacity,06,68,430.96
freightbidbench_scarce_capacity,06,69,-549.77
freightbidbench_scarce_capacity,06,70,-549.77
freightbidbench_scarce_capacity,06,71,-549.77
freightbidbench_scarce_capacity,06,72,-549.77
freightbidbench_scarce_capacity,08,0,-621.71
freightbidbench_scarce_capacity,08,1,-621.71
freightbidbench_scarce_capacity,08,2,-621.71
freightbidbench_scarce_capacity,08,3,-621.71
freightbidbench_scarce_capacity,08,4,-621.71
freightbidbench_scarce_capacity,08,5,-621.71
freightbidbench_scarce_capacity,08,6,-621.71
freightbidbench_scarce_capacity,08,7,-621.71
freightbidbench_scarce_capacity,08,8,-621.71
freightbidbench_scarce_capacity,08,9,-621.71
freightbidbench_scarce_capacity,08,10,-621.71
freightbidbench_scarce_capacity,08,11,-621.71
freightbidbench_scarce_capacity,08,12,-621.71
freightbidbench_scarce_capacity,08,13,-621.71
freightbidbench_scarce_capacity,08,14,-621.71
freightbidbench_scarce_capacity,08,15,-621.71
freightbidbench_scarce_capacity,08,16,-621.71
freightbidbench_scarce_capacity,08,17,-621.71
freightbidbench_scarce_capacity,08,18,-621.71
