seed,load_id,hour,origin_state,destination_state,origin_name,destination_name,destination_city,price,direct_cost,margin_dollars,rollout_accept,rollout_incremental_value,accept_value,reject_value,rollout_latency_ms,feature_bias,feature_margin,feature_future_delta,feature_price_per_mile,feature_cost_per_mile,feature_distance,feature_available_at_origin,feature_scarcity_multiplier,feature_origin_value,feature_destination_value,feature_same_state,feature_hour_sin,feature_hour_cos,feature_faf_tons
20260506,0,0,48,48,Texas,Texas,Dallas,2914.54,575.92,2338.62,True,2338.62,355288.72,352950.10,4.685333,1.00000000,0.46772400,0.00000000,5.54435773,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,1,0,48,48,Texas,Texas,Dallas,2376.70,575.92,1800.78,True,1800.78,359396.88,357596.10,4.545042,1.00000000,0.36015522,0.00000000,4.52121187,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,2,0,06,48,California,Texas,Dallas,4909.15,4756.23,152.92,True,333.73,368403.85,368070.12,4.397375,1.00000000,0.03058386,0.94234778,0.67543658,0.65439683,0.48454082,0.25000000,1.00000000,-0.38807604,0.55427174,0.00000000,0.00000000,1.00000000,0.86707683
20260506,3,0,48,48,Texas,Texas,Dallas,2733.60,575.92,2157.68,True,2157.68,370483.69,368326.01,4.282375,1.00000000,0.43153584,0.00000000,5.20015224,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,4,0,48,48,Texas,Texas,Dallas,2833.35,575.92,2257.43,True,2257.43,368732.74,366475.32,4.146583,1.00000000,0.45148569,0.00000000,5.38990621,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,5,0,48,48,Texas,Texas,Dallas,2508.75,575.92,1932.84,True,1932.84,359180.56,357247.72,4.024625,1.00000000,0.38656707,0.00000000,4.77242957,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,6,0,48,48,Texas,Texas,Dallas,2607.72,575.92,2031.80,True,2031.80,367407.50,365375.70,4.067667,1.00000000,0.40635974,0.00000000,4.96068848,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,7,0,48,48,Texas,Texas,Dallas,3225.40,575.92,2649.48,True,2649.48,368064.84,365415.35,3.933625,1.00000000,0.52989693,0.00000000,6.13571870,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,8,0,48,48,Texas,Texas,Dallas,3010.79,575.92,2434.87,True,2434.87,357063.78,354628.90,3.817250,1.00000000,0.48697480,0.00000000,5.72746266,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,9,0,48,48,Texas,Texas,Dallas,2255.28,575.92,1679.36,True,1679.36,371966.99,370287.63,3.935750,1.00000000,0.33587143,0.00000000,4.29023538,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,10,0,48,48,Texas,Texas,Dallas,2536.26,575.92,1960.34,True,1896.22,366472.61,364576.39,3.668125,1.00000000,0.39206777,0.00000000,4.82474971,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,11,0,48,48,Texas,Texas,Dallas,2456.38,575.92,1880.46,True,1880.46,361080.89,359200.43,3.691125,1.00000000,0.37609238,0.00000000,4.67279896,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,12,0,48,48,Texas,Texas,Dallas,2858.31,575.92,2282.39,True,2282.39,364299.29,362016.90,3.668625,1.00000000,0.45647714,0.00000000,5.43738266,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,13,0,48,17,Texas,Illinois,Chicago,6246.19,3663.47,2582.72,True,2136.51,367423.32,365286.81,3.636708,1.00000000,0.51654372,-0.90772111,1.13451566,0.66540829,0.36704015,1.00000000,1.15000000,0.55427174,-0.35344937,0.00000000,0.00000000,1.00000000,0.82311715
20260506,14,0,48,42,Texas,Pennsylvania,Philadelphia,7206.21,4956.42,2249.79,True,1788.42,347523.63,345735.20,3.478958,1.00000000,0.44995770,-0.96159286,0.94930953,0.65293374,0.50606663,1.00000000,1.15000000,0.55427174,-0.40732112,0.00000000,0.00000000,1.00000000,0.78480220
20260506,15,0,48,48,Texas,Texas,Dallas,2465.92,575.92,1890.00,True,1465.42,367591.36,366125.94,3.597375,1.00000000,0.37799912,0.00000000,4.69093502,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.00000000,1.00000000,1.41409967
20260506,16,1,48,48,Texas,Texas,Dallas,2770.88,575.92,2194.96,True,2194.96,352671.05,350476.09,3.507917,1.00000000,0.43899144,0.00000000,5.27106657,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,17,1,48,48,Texas,Texas,Dallas,2797.99,575.92,2222.07,True,2222.07,372715.45,370493.38,3.488500,1.00000000,0.44441476,0.00000000,5.32265075,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,18,1,48,48,Texas,Texas,Dallas,2896.50,575.92,2320.58,True,1779.30,362683.13,360903.83,3.419125,1.00000000,0.46411630,0.00000000,5.51004295,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,19,1,48,48,Texas,Texas,Dallas,2955.69,575.92,2379.78,True,2300.53,375870.92,373570.39,3.617833,1.00000000,0.47595504,0.00000000,5.62264772,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,20,1,48,48,Texas,Texas,Dallas,2566.33,575.92,1990.41,True,1990.41,369047.40,367056.99,3.564500,1.00000000,0.39808219,0.00000000,4.88195622,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,21,1,48,48,Texas,Texas,Dallas,2605.02,575.92,2029.10,True,1178.64,362120.38,360941.74,3.488417,1.00000000,0.40581921,0.00000000,4.95554725,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,22,1,48,48,Texas,Texas,Dallas,2579.38,575.92,2003.46,True,1565.61,352214.76,350649.15,3.427333,1.00000000,0.40069239,0.00000000,4.90678325,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,23,1,48,48,Texas,Texas,Dallas,2429.26,575.92,1853.34,True,981.34,373752.22,372770.88,3.523875,1.00000000,0.37066721,0.00000000,4.62119725,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,24,1,48,48,Texas,Texas,Dallas,2326.10,575.92,1750.18,True,528.78,352741.60,352212.81,3.341750,1.00000000,0.35003637,0.00000000,4.42496591,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,25,1,48,48,Texas,Texas,Dallas,2780.53,575.92,2204.61,True,1829.28,359311.68,357482.39,3.453417,1.00000000,0.44092197,0.00000000,5.28942887,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,26,1,06,42,California,Pennsylvania,Philadelphia,9959.41,8607.05,1352.36,True,1108.38,355293.29,354184.91,3.351458,1.00000000,0.27047101,-0.01924508,0.73887689,0.63854721,0.89860754,0.20000000,1.15000000,-0.38807604,-0.40732112,0.00000000,0.25881905,0.96592583,0.73057514
20260506,27,1,48,48,Texas,Texas,Dallas,2503.51,575.92,1927.59,True,355.22,365093.47,364738.25,3.526625,1.00000000,0.38551819,0.00000000,4.76245301,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.25881905,0.96592583,1.41409967
20260506,28,1,13,13,Georgia,Georgia,Atlanta,3560.36,522.71,3037.65,True,3037.65,366395.42,363357.77,3.553084,1.00000000,0.60752980,0.00000000,8.09449285,1.18837674,0.02932327,0.50000000,1.00000000,-0.29761803,-0.29761803,1.00000000,0.25881905,0.96592583,1.25030368
20260506,29,1,06,53,California,Washington,Seattle,4351.63,3025.44,1326.19,True,1443.43,359978.66,358535.23,3.407792,1.00000000,0.26523768,-0.08332310,0.97210150,0.67584699,0.29843448,0.15000000,1.00000000,-0.38807604,-0.47139914,0.00000000,0.25881905,0.96592583,0.85052049
20260506,30,2,48,48,Texas,Texas,Dallas,3157.19,575.92,2581.27,True,2589.49,361883.34,359293.85,3.515708,1.00000000,0.51625383,0.00000000,6.00595166,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,31,2,13,13,Georgia,Georgia,Atlanta,3275.02,522.71,2752.32,True,2656.18,359644.23,356988.05,3.493791,1.00000000,0.55046308,0.00000000,7.44578495,1.18837674,0.02932327,0.45000000,1.00000000,-0.29761803,-0.29761803,1.00000000,0.50000000,0.86602540,1.25030368
20260506,32,2,48,48,Texas,Texas,Dallas,2836.92,575.92,2261.00,True,1835.93,363228.79,361392.86,3.469875,1.00000000,0.45220081,0.00000000,5.39670817,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,33,2,13,13,Georgia,Georgia,Atlanta,3534.59,522.71,3011.89,True,2398.03,373839.68,371441.64,3.574958,1.00000000,0.60237742,0.00000000,8.03592300,1.18837674,0.02932327,0.40000000,1.00000000,-0.29761803,-0.29761803,1.00000000,0.50000000,0.86602540,1.25030368
20260506,34,2,13,13,Georgia,Georgia,Atlanta,3303.21,522.71,2780.50,True,2780.50,367066.29,364285.79,3.546792,1.00000000,0.55610086,0.00000000,7.50987258,1.18837674,0.02932327,0.35000000,1.00000000,-0.29761803,-0.29761803,1.00000000,0.50000000,0.86602540,1.25030368
20260506,35,2,48,48,Texas,Texas,Dallas,2341.45,575.92,1765.53,True,1618.99,361298.47,359679.48,3.534083,1.00000000,0.35310537,0.00000000,4.45415694,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,36,2,48,48,Texas,Texas,Dallas,2608.21,575.92,2032.29,True,2032.29,354738.34,352706.05,3.423584,1.00000000,0.40645739,0.00000000,4.96161727,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,37,2,48,48,Texas,Texas,Dallas,2599.76,575.92,2023.84,True,2023.84,356602.62,354578.78,3.401083,1.00000000,0.40476820,0.00000000,4.94555044,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,38,2,48,48,Texas,Texas,Dallas,2667.82,575.92,2091.90,True,1093.14,370070.93,368977.79,3.835000,1.00000000,0.41838040,0.00000000,5.07502361,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,39,2,48,48,Texas,Texas,Dallas,3176.66,575.92,2600.74,True,1446.61,355412.12,353965.51,3.385834,1.00000000,0.52014872,0.00000000,6.04299806,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,40,2,48,48,Texas,Texas,Dallas,2741.68,575.92,2165.76,True,1321.65,349485.42,348163.76,3.400417,1.00000000,0.43315186,0.00000000,5.21552314,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,41,2,48,48,Texas,Texas,Dallas,2537.78,575.92,1961.86,True,1207.22,352583.29,351376.07,3.391750,1.00000000,0.39237137,0.00000000,4.82763743,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,42,2,48,48,Texas,Texas,Dallas,2773.13,575.92,2197.21,True,934.52,359084.60,358150.08,3.551667,1.00000000,0.43944207,0.00000000,5.27535276,1.09557750,0.03504511,1.00000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,43,2,48,48,Texas,Texas,Dallas,2872.94,575.92,2297.02,True,721.42,355668.59,354947.18,3.462833,1.00000000,0.45940364,0.00000000,5.46521817,1.09557750,0.03504511,0.95000000,1.15000000,0.55427174,0.55427174,1.00000000,0.50000000,0.86602540,1.41409967
20260506,44,2,13,13,Georgia,Georgia,Atlanta,3362.05,522.71,2839.34,True,2246.78,359403.87,357157.09,3.461333,1.00000000,0.56786838,0.00000000,7.64364035,1.18837674,0.02932327,0.30000000,1.00000000,-0.29761803,-0.29761803,1.00000000,0.50000000,0.86602540,1.25030368
